EmployeeID,AttritionProbability,RiskLevel,TopRiskFactors,RecommendedRetentionAction
1,0.7936,High,Burnout Risk Index; Stock Option Level; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
2,0.0429,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
4,0.8639,High,Burnout Risk Index; Manager Stability Score; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
5,0.6913,Medium,Burnout Risk Index; Stock Option Level; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
7,0.4166,Medium,Num Companies Worked; Age; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
8,0.1846,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
10,0.2786,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
11,0.5893,Medium,Manager Stability Score; Total Working Years; Age,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
12,0.082,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
13,0.1336,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
14,0.1612,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
15,0.2847,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
16,0.188,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
18,0.065,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
19,0.9334,High,Burnout Risk Index; Monthly Income; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
20,0.1269,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
21,0.1171,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
22,0.4267,Medium,Manager Stability Score; Total Working Years; Age,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
23,0.0393,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
24,0.2187,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
26,0.0301,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
27,0.3972,Medium,Num Companies Worked; Satisfaction Composite Score; Stock Option Level,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
28,0.0986,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
30,0.5209,Medium,Manager Stability Score; Monthly Income; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
31,0.2852,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
32,0.0707,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
33,0.9422,High,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
35,0.1402,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
36,0.0731,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
38,0.1609,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
39,0.1991,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
40,0.0286,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
41,0.0966,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
42,0.7393,High,Monthly Income; Work Life Balance; Manager Stability Score,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
45,0.8994,High,Burnout Risk Index; Manager Stability Score; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
46,0.0184,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
47,0.7597,High,Burnout Risk Index; Stock Option Level; Environment Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
49,0.3311,Medium,Monthly Income; Total Working Years; Stock Option Level,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
51,0.1851,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
52,0.1444,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
53,0.3151,Medium,Manager Stability Score; Monthly Income; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
54,0.6661,Medium,Manager Stability Score; Total Working Years; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
55,0.891,High,Total Working Years; Stock Option Level; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
56,0.2251,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
57,0.131,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
58,0.1194,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
60,0.0413,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
61,0.5996,Medium,Satisfaction Composite Score; Manager Stability Score; Stock Option Level,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
62,0.476,Medium,Burnout Risk Index; Stock Option Level; Environment Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
63,0.1173,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
64,0.8399,High,Burnout Risk Index; Manager Stability Score; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
65,0.8817,High,Burnout Risk Index; Stock Option Level; Total Working Years,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
68,0.3071,Medium,Burnout Risk Index; Num Companies Worked; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
70,0.1712,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
72,0.6,Medium,Burnout Risk Index; Num Companies Worked; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
73,0.2608,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
